correct,error
Apennines,Apenines
Apennines,Appenines
Athenian,Athenean
Athenians,Atheneans
Bernoulli,Bernouilli
Blitzkrieg,Blitzkreig
Brazilian,Brasillian
Britain,Britian
British,Brittish
Caesar,Ceasar
Cambridge,Cambrige
Caracas,carcas
Caribbean,Carribean
Carthaginian,Carthagian
Catalina,Cataline
Catiline,Cataline
Celsius,Celcius
Champagne,Champange
Connecticut,Conneticut
Cypriot,Cyprian
Ellis,eles
English,Enlish
European,Europian
European,Eurpean
European,Eurpoean
Europeans,Europians
February,febuary
Flemish,Flemmish
Franciscan,Fransiscan
Franciscans,Fransiscans
Gael,gae
Galatians,Galations
Gandhi,Ghandi
Gauguin,gogin
Guatemala,Guatamala
Guatemalan,Guatamalan
Guinness,Guiness
Israelis,Israelies
Ithaca,Ihaca
Jacques,Jaques
Japanese,Japanes
Joseph,Jospeh
Judaism,Juadaism
Judaism,Juadism
Libya,Lybia
Malcolm,Malcom
Maltese,maltesian
Mara_Liasson,liason
Massachusetts,Massachussets
Massachusetts,Massachussetts
Mediterranean,Mediteranean
Michigan,Michagan
Miranda,meranda
Mississippi,Missisipi
Mississippi,Missisippi
Missouri,Misouri
Muslim,Mohammedan
Muslim,Muhammadan
Muslims,Mohammedans
Nazareth,Nazereth
New_Yorker,Newyorker
Newfoundland,Foundland
Nuremberg,Nuremburg
Orignal,orginal
Palestinian,Palistian
Palestinian,Palistinian
Philippine,Phillipine
Philippines,Philipines
Philippines,Phillipines
Philippines,Phillippines
Portuguese,Portugese
Puccini,Pucini
Rockefeller,Rockerfeller
Russian,Russion
Russian,russina
Saturday,Saterday
Saturdays,Saterdays
Sistine,Sixtin
Spanish,spainish
Tim,tiem
Ukrainian,Ukranian
Valletta,Valetta
Wednesday,wendsay
Wednesday,wensday
Zionist,Sionist
Zionists,Sionists
a_lot,alot
abandon,abondon
abandoned,abondoned
abandoning,abondoning
abandons,abondons
aberration,aberation
about,baout
about,boaut
absence,absense
absorbed,asorbed
absorption,absorbsion
absorption,absorbtion
abuts,abutts
acceptable,acceptible
accessible,accessable
accession,accension
accidentally,accidently
acclimatization,acclimitization
accommodate,accomadate
accommodate,accomodate
accommodated,accomadated
accommodated,accomodated
accommodates,accomadates
accommodates,accomodates
accommodating,accomadating
accommodating,accomodating
accommodation,accomadation
accommodation,accomodation
accommodations,accomodations
accompanied,accompanyed
accomplish,acomplish
accomplished,acomplished
accomplishment,acomplishment
accomplishments,acomplishments
according,acording
accuracy,acuracy
accused,accussed
accustom,acustom
accustomed,acustommed
achieve,acheive
achieve,achive
achieved,acheived
achieved,achived
achievement,acheivement
achievement,acheivment
achievement,achievment
achievements,acheivements
achievements,acheivments
achievements,achievments
achieves,acheives
achieving,acheiving
acquaintance,acquaintence
acquaintance,acquiantence
acquaintance,aquaintance
acquaintance,aquiantance
acquaintances,acquaintences
acquaintances,acquiantences
acquainted,aquainted
acquire,adquire
acquire,aquire
acquired,adquired
acquired,aquired
acquires,adquires
acquiring,adquiring
acquiring,aquiring
acquisition,aquisition
acquitted,acquited
acquitted,aquitted
across,accross
actually,actualy
adaptation,adaption
adaptations,adaptions
adders,addres
additionally,additinally
address,addres
address,adres
address,adress
addressable,addresable
addressable,adresable
addressable,adressable
addressing,addresing
addressing,adresing
addressing,adressing
adequate,adecuate
adhering,adhearing
administrate,adminstrate
administration,adminstration
administrative,adminstrative
admissibility,admissability
admissible,admissable
admission,addmission
adolescent,adolecent
adopt,addopt
adopted,addopted
adoptive,addoptive
advertisement,advertisment
advertisements,advertisments
advice,adviced
advised,adviced
aerial,aeriel
aerials,aeriels
afford,affort
afford,efford
affords,effords
aficionado,afficionado
aficionados,afficionados
again,agian
again,agina
aggravate,agravate
aggregate,agregate
aggregates,agregates
aggression,agression
aggressive,agressive
aggressively,agressively
aggrieved,agrieved
agree,agre
agreed,agred
agreeing,agreing
agreement,aggreement
agriculturist,agriculturalist
airborne,airbourne
airports,airporta
alcohol,alchohol
alcoholic,alcoholical
algebraic,algebraical
algorithm,algoritm
algorithms,algoritms
allege,alege
allege,alledge
alleged,aleged
alleged,alledged
alleges,alledges
allegiance,alegience
allegiance,allegience
alleviate,alliviate
allophone,allopone
allophones,allopones
allot,alot
allotted,alotted
allusion,alusion
almost,almsot
almost,alomst
already,alreayd
also,alsot
also,aslo
although,altho
although,althought
although,altough
always,alwasy
always,alwyas
amateur,amature
amend,ammend
amendment,admendment
amendment,amendmant
amendment,ammendment
among,amoung
anal,anual
analogous,analagous
analogous,analogeous
analytic,analitic
and,anbd
androgynous,androgenous
androgyny,androgeny
angina,agina
annihilation,anihilation
announced,anounced
annual,anual
annulled,annuled
anoint,annoint
anointed,annointed
anointing,annointing
anoints,annoints
anomalies,anomolies
anomalous,anomolous
anomaly,anomoly
anonymity,anonimity
anything,anytying
anywhere,anyhwere
apart,appart
apartment,appartment
apartments,appartments
apologetics,apolegetics
apologies,appologies
apology,appology
appalling,appealling
apparent,aparent
apparent,apparant
appealing,appealling
appearance,appearence
appearances,appearences
application,aplication
appreciate,apprieciate
approaches,approachs
appropriate,appropiate
approximately,approximitely
approximately,aproximately
apron,apon
arbitrarily,arbitarily
arbitrary,arbitary
archaeologist,archeaologist
archaeologists,archeaologists
archaeology,archaoelogy
archaeology,archaology
archeologist,archeaologist
archeologists,archeaologists
archeology,archaoelogy
archeology,archaology
archetype,archtype
archetypes,archtypes
architect,archetect
architects,archetects
architectural,archetectural
architecturally,archetecturally
architecture,archetecture
archive,achive
archived,achived
armature,amature
arrangement,arangement
arrested,erested
article,artical
article,articel
artificial,artifical
artificially,artifically
artillery,artillary
ascension,accension
ascetic,asetic
aspects,spects
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
assemble,assemple
assistant,assitant
associated,asociated
asteroid,asteriod
asymmetric,assymetric
atheistic,atheistical
attainder,attaindre
attained,attaindre
attempt,attemt
attempted,attemted
attempting,attemting
attempts,attemts
attendance,attendence
attendant,attendent
attendants,attendents
attitude,attitide
attribute,atribute
attributes,atributes
audience,audeince
